,Unnamed: 0,index,contract_id,ico,dlhy_nedoplatky,pohladavky_statu,employees,competition,money_saved,money_spent,sales,profit,company_age
598,717,717,413427,31327681.0,0,0,5,5,0.0,4029766.0,7337167.0,1221642,10158.0
599,721,721,421064,43850065.0,0,0,50,1,6.9897,386609.0,3253869.0,26290,4524.0
600,723,723,420226,36449814.0,0,0,25,1,1.1875,645667.0,8155442.0,476683,8281.0
601,725,725,421076,31397549.0,1,0,50,1,5.7229,255116.0,50129706.0,404802,9072.0
602,728,728,415060,31424562.0,0,0,20,2,19.1937,9980000.0,4864499.0,746560,10023.0
603,729,729,416120,36019208.0,0,0,100,1,12.566,50000.0,21162366.0,407239,8437.0
604,730,730,416120,36019208.0,0,0,100,1,26.435,40000.0,21162366.0,407239,8437.0
605,731,731,416120,36019208.0,0,0,100,1,41.148,29426.0,21162366.0,407239,8437.0
606,732,732,415503,36387002.0,1,0,10,1,0.13929999999999998,400000.0,1668725.0,3609,7583.0
607,734,734,416033,31564518.0,0,0,100,2,1.5796,2640000.0,15052188.0,392950,10201.0
608,735,735,400338,36186902.0,0,0,3,7,0.0,320000.0,1010574.0,256,7870.0
609,736,736,404170,35815256.0,0,0,500,3,0.0,1000780.0,1109526000.0,220935000,6878.0
610,739,739,412541,17321760.0,0,0,10,2,0.4934,818417.0,1741267.0,35561,10500.0
611,743,743,413440,31625657.0,0,1,500,4,43.0244,397247.0,506624672.0,2283408,9180.0
612,744,744,419601,36224626.0,0,0,25,2,8.1719,398600.0,1308804.0,78086,8204.0
613,745,745,410947,31625657.0,0,1,500,5,11.9297,232337.0,506624672.0,2283408,9180.0
614,746,746,410947,34113924.0,0,0,250,6,-0.1828,31736.0,319548045.0,1503146,9241.0
615,747,747,411462,35758481.0,0,0,5,1,3.7708,2042.0,9110675.0,1698062,7805.0
616,748,748,411462,31717802.0,1,0,25,1,44.2711,1965.0,17783353.0,369611,8912.0
617,749,749,411462,31717802.0,1,0,25,2,0.4821,3526.0,17783353.0,369611,8912.0
618,750,750,411462,31717802.0,1,0,25,2,5.725899999999998,8575.0,17783353.0,369611,8912.0
619,751,751,411462,31717802.0,1,0,25,2,1.1932999999999998,70059.0,17783353.0,369611,8912.0
620,752,752,411462,35758481.0,0,0,5,2,3.7143,1750.0,9110675.0,1698062,7805.0
621,753,753,411462,31717802.0,1,0,25,2,0.0,60187.0,17783353.0,369611,8912.0
622,754,754,411462,35758481.0,0,0,5,1,4.5792,4586.0,9110675.0,1698062,7805.0
623,755,755,411462,35758481.0,0,0,5,2,0.0,37340.0,9110675.0,1698062,7805.0
624,756,756,411462,31717802.0,1,0,25,1,6.4668,9340.0,17783353.0,369611,8912.0
625,757,757,411462,31717802.0,1,0,25,1,1.0782,1484.0,17783353.0,369611,8912.0
626,758,758,411462,35758481.0,0,0,5,1,2.9053,1067.0,9110675.0,1698062,7805.0
627,759,759,411462,31350780.0,0,1,25,2,9.7879,2687.0,30210950.0,2044624,9838.0
628,760,760,420019,50077597.0,0,0,2,1,0.0,517598.0,451792.0,52487,1612.0
629,761,761,420289,31625657.0,0,1,500,1,0.0296,540828.0,506624672.0,2283408,9180.0
630,762,762,408995,36057231.0,0,0,1,2,0.0,1984003.0,940659.0,22465,6365.0
631,763,763,414135,36583359.0,0,0,3,1,2.3256,594045.0,377157.0,8761,5731.0
632,764,764,415260,50085999.0,0,1,25,3,0.0,427089.0,8764074.0,61526,1596.0
